supplier_id,category,p_disruption_3m,signal,top_drivers,recommended_supplier_action,buyer_internal_action
S174,C06,0.686,RED,single_source (+0.18); sub_tier_concentration (+0.16); backlog_growth (+0.08),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S152,C08,0.649,RED,sub_tier_concentration (+0.14); geo_risk_index (+0.11); backlog_growth (+0.10),Request tier-2 source mapping and sub-supplier contingency plans. | Request business-continuity plan and alternate production site mapping.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S204,C00,0.647,RED,single_source (+0.18); sub_tier_concentration (+0.15); capacity_utilization (+0.09),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S225,C09,0.514,RED,single_source (+0.18); geo_risk_index (+0.15); sub_tier_concentration (+0.07),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S183,C03,0.438,RED,sub_tier_concentration (+0.17); single_source (+0.17); backlog_growth (+0.06),Request tier-2 source mapping and sub-supplier contingency plans. | Discuss dual-site production or tooling duplication; share a continuity plan for affected parts.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S227,C11,0.435,RED,sub_tier_concentration (+0.11); otif_rate (+0.09); capacity_utilization (+0.08),Request tier-2 source mapping and sub-supplier contingency plans. | Open a delivery-performance corrective action plan with weekly checkpoints.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S164,C08,0.41,RED,backlog_growth (+0.10); financial_health (+0.09); capacity_utilization (+0.07),Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S195,C03,0.408,RED,single_source (+0.16); sub_tier_concentration (+0.11); financial_health (+0.08),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S003,C03,0.405,RED,geo_risk_index (+0.12); sub_tier_concentration (+0.11); response_latency_days (+0.05),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S112,C04,0.398,RED,geo_risk_index (+0.10); sub_tier_concentration (+0.09); capacity_utilization (+0.06),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S079,C07,0.395,RED,sub_tier_concentration (+0.11); capacity_utilization (+0.08); financial_health (+0.07),Request tier-2 source mapping and sub-supplier contingency plans. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S219,C03,0.383,RED,otif_rate (+0.10); sub_tier_concentration (+0.06); capacity_utilization (+0.06),Open a delivery-performance corrective action plan with weekly checkpoints. | Request tier-2 source mapping and sub-supplier contingency plans.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S097,C01,0.365,RED,lead_time_days (+0.10); financial_health (+0.08); geo_risk_index (+0.05),Review lead-time commitments; agree on buffer stock at supplier or buyer site. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,"Activate contingency: raise safety stock, expedite alternate source, weekly exec review."
S085,C01,0.349,AMBER,geo_risk_index (+0.09); sub_tier_concentration (+0.07); backlog_growth (+0.06),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S043,C07,0.341,AMBER,single_source (+0.15); sub_tier_concentration (+0.12); geo_risk_index (+0.04),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
